Country Name,"Country Code","Series Name","Series Code","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
Argentina,"ARG","People with basic handwashing facilities including soap and water (% of population)","SH.STA.HYGN.ZS","","","","","","","","","",""
Argentina,"ARG","People using at least basic sanitation services (% of population)","SH.STA.BASS.ZS","92.6217791379891","93.1824993783585","93.7417481852165","94.1675570736228","94.2010482970055","94.2348507736493","94.2585054176821","","",""
Argentina,"ARG","People using safely managed sanitation services (% of population)","SH.STA.SMSS.ZS","","","","","","","","","",""
Argentina,"ARG","International tourism, number of arrivals","ST.INT.ARVL","6800000","6703000","6497000","6510000","7165000","6816000","6668000","6711000","6942000",""
Argentina,"ARG","International tourism, number of departures","ST.INT.DPRT","5307000","6686000","7266000","6746000","6517000","7807000","10417000","12213000","11130000",""
Argentina,"ARG","Smoking prevalence, total (ages 15+)","SH.PRV.SMOK","27.5","26.3","25.4","24.4","23.5","22.5","21.8","","",""
Argentina,"ARG","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","SH.DTH.COMM.ZS","14.1","","","","","15.5","15.9","","",""
Argentina,"ARG","Cause of death, by non-communicable diseases (% of total)","SH.DTH.NCOM.ZS","79.9","","","","","78.1","77.6","","",""
Argentina,"ARG","Population ages 65 and above (% of total population)","SP.POP.65UP.TO.ZS","10.1950246568397","10.2970075386309","10.4010145228393","10.5073415674413","10.6164006618491","10.728815712424","10.8599775767747","10.9897071133897","11.1177888760774",""
Argentina,"ARG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE","86.893","85.908","84.923","83.995","83.067","82.139","81.211","80.283","",""
Argentina,"ARG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","161.318","159.43","157.542","155.775","154.008","152.24","150.473","148.705","",""
Argentina,"ARG","Nurses and midwives (per 1,000 people)","SH.MED.NUMW.P3","","","","4.2119","","","","2.58","",""
Argentina,"ARG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","1578.8820891","1647.832709","1645.7883479","1689.13931511","1631.14313689","1808.94614677","1531.0383612","","",""
Argentina,"ARG","Hospital beds (per 1,000 people)","SH.MED.BEDS.ZS","4.5","4.5","4.7","4.9","5","","","","",""
Argentina,"ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.278","75.439","75.598","75.756","75.913","76.068","76.221","76.372","",""
